Trait	nSNP	overall_p	mscomp	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	FDR.overall	sig.overall
20002_1123_PanUKBB_PanUKBBR2_1	1661	0.92222324875844	PC14 (2e-01)	PanUKBB	2022	PanUKBBR2	20002_1123	Sleep Apnoea (UKBB)	OTH	419101	1372	420473	European (EUR)	0.9681758746391	N
20002_1125_PanUKBB_PanUKBBR2_1	1661	0.655060417475511	PC4 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1125	Pleurisy (UKBB)	OTH	419047	1426	420473	European (EUR)	0.887884900981967	N
20002_1126_PanUKBB_PanUKBBR2_1	1661	0.324122166887377	PC10 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1126	Spontaneous Pneumothorax/Recurrent Pneumothorax (UKBB)	OTH	419475	998	420473	European (EUR)	0.79168563316321	N
20002_1134_PanUKBB_PanUKBBR2_1	1661	0.225680173273362	PC12 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1134	Oesophageal Disorder (UKBB)	OTH	420215	258	420473	European (EUR)	0.714484832336759	N
20002_1135_PanUKBB_PanUKBBR2_1	1661	0.467174275290604	PC10 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1135	Stomach Disorder (UKBB)	OTH	419566	907	420473	European (EUR)	0.848313945493854	N
20002_1136_PanUKBB_PanUKBBR2_1	1661	0.245931591376163	PC8 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1136	Liver/Biliary/Pancreas Problem (UKBB)	OTH	419751	722	420473	European (EUR)	0.740623216596874	N
20002_1137_PanUKBB_PanUKBBR2_1	1661	0.626023525842493	PC10 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1137	Other Abdominal Problem (UKBB)	OTH	419979	494	420473	European (EUR)	0.887392496414474	N
20002_1138_PanUKBB_PanUKBBR2_1	1661	0.4845579639909	PC10 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1138	Gastro-Oesophageal Reflux (Gord) / Gastric Reflux (UKBB)	OTH	421568	18680	440248	Trans-ethnic (CSA,EUR)	0.848313945493854	N
20002_1139_PanUKBB_PanUKBBR2_1	1661	0.114247769142193	PC2 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1139	Oesophagitis/Barretts Oesophagus (UKBB)	OTH	419162	1311	420473	European (EUR)	0.565329478341541	N
20002_1142_PanUKBB_PanUKBBR2_1	1661	0.17039969976524	PC10 (8e-03)	PanUKBB	2022	PanUKBBR2	20002_1142	Gastric/Stomach Ulcers (UKBB)	OTH	432877	3069	435946	Trans-ethnic (AFR,CSA,EUR)	0.657238445770784	N
20002_1143_PanUKBB_PanUKBBR2_1	1661	0.942684140249589	PC2 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1143	Gastritis/Gastric Erosions (UKBB)	OTH	419833	640	420473	European (EUR)	0.974956209915791	N
20002_1154_PanUKBB_PanUKBBR2_1	1661	0.602404150383454	PC1 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1154	Irritable Bowel Syndrome (UKBB)	IMD	425748	10198	435946	Trans-ethnic (AFR,CSA,EUR)	0.773645939324943	N
20002_1155_PanUKBB_PanUKBBR2_1	1661	0.147228292159577	PC4 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1155	Hepatitis (UKBB)	INF	420027	446	420473	European (EUR)	0.649245885633926	N
20002_1156_PanUKBB_PanUKBBR2_1	1661	0.59670855436573	PC3 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1156	Infective/Viral Hepatitis (UKBB)	INF	419591	882	420473	European (EUR)	0.875016590786723	N
20002_1157_PanUKBB_PanUKBBR2_1	1661	0.29936809262564	PC9 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1157	Non-Infective Hepatitis (UKBB)	IMD	420040	433	420473	European (EUR)	0.529651240799209	N
20002_1158_PanUKBB_PanUKBBR2_1	1661	0.70241579958564	PC11 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1158	Liver Failure/Cirrhosis (UKBB)	OTH	420173	300	420473	European (EUR)	0.912330374709464	N
20002_1161_PanUKBB_PanUKBBR2_1	1661	0.150003824442924	PC1 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1161	Gall Bladder Disease (UKBB)	OTH	420247	226	420473	European (EUR)	0.623928950943756	N
20002_1162_PanUKBB_PanUKBBR2_1	1661	0.00159510318906496	PC8 (4e-03)	PanUKBB	2022	PanUKBBR2	20002_1162	Cholelithiasis/Gall Stones (UKBB)	OTH	428789	7157	435946	Trans-ethnic (AFR,CSA,EUR)	0.0538581900307816	N
20002_1163_PanUKBB_PanUKBBR2_1	1661	0.29762723568308	PC9 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1163	Cholecystitis (UKBB)	OTH	420053	420	420473	European (EUR)	0.778305390806779	N
20002_1165_PanUKBB_PanUKBBR2_1	1661	0.0718544200518196	PC10 (6e-03)	PanUKBB	2022	PanUKBBR2	20002_1165	Pancreatitis (UKBB)	OTH	419558	915	420473	European (EUR)	0.456121150445866	N
20002_1190_PanUKBB_PanUKBBR2_1	1661	0.370341790060874	PC4 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1190	Peritonitis (UKBB)	OTH	419048	1425	420473	European (EUR)	0.815714359290842	N
20002_1191_PanUKBB_PanUKBBR2_1	1661	0.0430745742675232	PC13 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1191	Gastrointestinal Bleeding (UKBB)	OTH	420326	147	420473	European (EUR)	0.360946067584793	N
20002_1192_PanUKBB_PanUKBBR2_1	1661	0.344217769053772	PC14 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1192	Renal/Kidney Failure (UKBB)	OTH	420284	189	420473	European (EUR)	0.80645305892598	N
20002_1193_PanUKBB_PanUKBBR2_1	1661	0.816576501694148	PC6 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1193	Renal Failure Requiring Dialysis (UKBB)	OTH	420267	206	420473	European (EUR)	0.934316318217193	N
20002_1194_PanUKBB_PanUKBBR2_1	1661	0.922499403642218	PC6 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1194	Renal Failure Not Requiring Dialysis (UKBB)	OTH	420152	321	420473	European (EUR)	0.9681758746391	N
20002_1196_PanUKBB_PanUKBBR2_1	1661	0.688801780466164	PC13 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1196	Urinary Tract Infection/Kidney Infection (UKBB)	INF	418513	1960	420473	European (EUR)	0.887409292418018	N
20002_1197_PanUKBB_PanUKBBR2_1	1661	0.0614862552104459	PC1 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1197	Kidney Stone/Ureter Stone/Bladder Stone (UKBB)	OTH	426018	3304	429322	Trans-ethnic (CSA,EUR)	0.438523521605835	N
20002_1200_PanUKBB_PanUKBBR2_1	1661	0.0988071420042848	PC4 (1e-04)	PanUKBB	2022	PanUKBBR2	20002_1200	Ureteric Obstruction/Hydronephrosis (UKBB)	OTH	420190	283	420473	European (EUR)	0.5372106204286	N
20002_1201_PanUKBB_PanUKBBR2_1	1661	0.0075111916803733	PC1 (1e-03)	PanUKBB	2022	PanUKBBR2	20002_1201	Bladder Problem (Not Cancer) (UKBB)	OTH	417931	2542	420473	European (EUR)	0.144972388576831	N
20002_1202_PanUKBB_PanUKBBR2_1	1661	0.516031723245611	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1202	Urinary Frequency / Incontinence (UKBB)	OTH	418994	1479	420473	European (EUR)	0.852349775750358	N
20002_1220_PanUKBB_PanUKBBR2_1	1661	3.49880564922619e-08	PC14 (6e-05)	PanUKBB	2022	PanUKBBR2	20002_1220	Diabetes (UKBB)	OTH	421391	18857	440248	Trans-ethnic (AFR,CSA,EAS,EUR,MID)	3.34719073775972e-06	Y
20002_1222_PanUKBB_PanUKBBR2_1	1661	0.0815600855399491	PC5 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1222	Type 1 Diabetes (UKBB)	IMD	420110	363	420473	European (EUR)	0.231850580242777	N
20002_1223_PanUKBB_PanUKBBR2_1	1661	0.00796789927476686	PC12 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1223	Type 2 Diabetes (UKBB)	OTH	433013	2933	435946	Trans-ethnic (AFR,EUR)	0.146667239449639	N
20002_1224_PanUKBB_PanUKBBR2_1	1661	0.630548039101991	PC7 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1224	Thyroid Problem (Not Cancer) (UKBB)	OTH	419391	1082	420473	European (EUR)	0.887392496414474	N
20002_1225_PanUKBB_PanUKBBR2_1	1661	0.203099791800135	PC6 (9e-03)	PanUKBB	2022	PanUKBBR2	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	432615	3331	435946	Trans-ethnic (AFR,CSA,EUR)	0.423245375170877	N
20002_1226_PanUKBB_PanUKBBR2_1	1661	2.71428429659681e-28	PC8 (8e-14)	PanUKBB	2022	PanUKBBR2	20002_1226	Hypothyroidism/Myxoedema (UKBB)	IMD	414705	21241	435946	Trans-ethnic (CSA,EUR)	5.72261605865827e-27	Y
20002_1229_PanUKBB_PanUKBBR2_1	1661	0.824232296783746	PC9 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1229	Parathyroid Gland Problem (Not Cancer) (UKBB)	OTH	420332	141	420473	European (EUR)	0.934316318217193	N
20002_1230_PanUKBB_PanUKBBR2_1	1661	0.813655408539295	PC4 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1230	parathyroid hyperplasia/adenoma (UKBB)	CAN	420370	103	420473	European (EUR)	0.960805854764487	N
20002_1234_PanUKBB_PanUKBBR2_1	1661	0.0358325711293524	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1234	Adrenocortical Insufficiency/Addison'S Disease (UKBB)	IMD	420310	163	420473	European (EUR)	0.116226160201617	N
20002_1238_PanUKBB_PanUKBBR2_1	1661	0.157245219172902	PC7 (1e-03)	PanUKBB	2022	PanUKBBR2	20002_1238	Pituitary Adenoma/Tumour (UKBB)	CAN	420199	274	420473	European (EUR)	0.544285237948556	N
20002_1240_PanUKBB_PanUKBBR2_1	1661	0.473292809650275	PC10 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1240	Neurological Injury/Trauma (UKBB)	OTH	420365	108	420473	European (EUR)	0.848313945493854	N
20002_1242_PanUKBB_PanUKBBR2_1	1661	0.328185530654021	PC14 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1242	Eye/Eyelid Problem (UKBB)	OTH	417155	3318	420473	European (EUR)	0.796526404208914	N
20002_1243_PanUKBB_PanUKBBR2_1	1661	0.286187012068476	PC11 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1243	Psychological/Psychiatric Problem (UKBB)	PSD	420075	398	420473	European (EUR)	0.827972886194381	N
20002_1246_PanUKBB_PanUKBBR2_1	1661	0.680576138239199	PC12 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1246	Encephalitis (UKBB)	INF	420201	272	420473	European (EUR)	0.887409292418018	N
20002_1247_PanUKBB_PanUKBBR2_1	1661	0.870501988279165	PC12 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1247	Meningitis (UKBB)	INF	418712	1761	420473	European (EUR)	0.966761367458154	N
20002_1249_PanUKBB_PanUKBBR2_1	1661	0.557299806510267	PC6 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1249	Cranial Nerve Problem/Palsy (UKBB)	OTH	420224	249	420473	European (EUR)	0.871635119719055	N
20002_1250_PanUKBB_PanUKBBR2_1	1661	0.515719634831282	PC11 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1250	Bell'S Palsy/Facial Nerve Palsy (UKBB)	OTH	420068	405	420473	European (EUR)	0.852349775750358	N
20002_1251_PanUKBB_PanUKBBR2_1	1661	0.162149532821373	PC12 (6e-03)	PanUKBB	2022	PanUKBBR2	20002_1251	Spinal Cord Disorder (UKBB)	OTH	420058	415	420473	European (EUR)	0.64242320024802	N
20002_1254_PanUKBB_PanUKBBR2_1	1661	0.161156156954618	PC2 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1254	Peripheral Nerve Disorder (UKBB)	OTH	420249	224	420473	European (EUR)	0.64242320024802	N
20002_1255_PanUKBB_PanUKBBR2_1	1661	0.322726745458677	PC9 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1255	Peripheral Neuropathy (UKBB)	OTH	419892	581	420473	European (EUR)	0.791645948261883	N
20002_1256_PanUKBB_PanUKBBR2_1	1661	0.29416111594391	PC11 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1256	Acute Infective Polyneuritis/Guillain-Barre Syndrome (UKBB)	IMD	420299	174	420473	European (EUR)	0.524103960097248	N
20002_1257_PanUKBB_PanUKBBR2_1	1661	0.041270807249366	PC11 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1257	Trapped Nerve/Compressed Nerve (UKBB)	OTH	419234	1239	420473	European (EUR)	0.359164901560872	N
20002_1258_PanUKBB_PanUKBBR2_1	1661	0.55502267308637	PC5 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1258	Chronic/Degenerative Neurological Problem (UKBB)	OTH	420325	148	420473	European (EUR)	0.870445394403214	N
20002_1261_PanUKBB_PanUKBBR2_1	1661	0.0330365501478918	PC7 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1261	Multiple Sclerosis (UKBB)	IMD	418938	1535	420473	European (EUR)	0.109976936676535	N
20002_1262_PanUKBB_PanUKBBR2_1	1661	0.161652134086245	PC5 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1262	Parkinsons Disease (UKBB)	PSD	419728	745	420473	European (EUR)	0.745200476469573	N
20002_1263_PanUKBB_PanUKBBR2_1	1661	0.217943175453775	PC5 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1263	Dementia/Alzheimer's/Cognitive Impairment (UKBB)	PSD	420369	104	420473	European (EUR)	0.769603937256344	N
20002_1264_PanUKBB_PanUKBBR2_1	1661	0.126648861314092	PC10 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1264	Epilepsy (UKBB)	PSD	416973	3500	420473	European (EUR)	0.745200476469573	N
20002_1265_PanUKBB_PanUKBBR2_1	1661	0.199372859086051	PC12 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1265	Migraine (UKBB)	PSD	423252	12694	435946	Trans-ethnic (AFR,CSA,EUR)	0.769603937256344	N
20002_1266_PanUKBB_PanUKBBR2_1	1661	0.742815685587665	PC8 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1266	Head Injury (UKBB)	OTH	419063	1410	420473	European (EUR)	0.917717811255179	N
20002_1267_PanUKBB_PanUKBBR2_1	1661	0.446233112659553	PC12 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1267	Spinal Injury (UKBB)	OTH	419808	665	420473	European (EUR)	0.844851349199355	N
20002_1274_PanUKBB_PanUKBBR2_1	1661	0.526539539761361	PC8 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1274	Eye Infection (UKBB)	INF	420070	403	420473	European (EUR)	0.865134898048492	N
20002_1275_PanUKBB_PanUKBBR2_1	1661	0.932172604680938	PC14 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1275	Retinal Problem (UKBB)	OTH	419779	694	420473	European (EUR)	0.971904243682605	N
20002_1276_PanUKBB_PanUKBBR2_1	1661	0.527150122633061	PC6 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1276	Diabetic Eye Disease (UKBB)	OTH	434970	976	435946	Trans-ethnic (AFR,CSA,EUR)	0.852349775750358	N
20002_1277_PanUKBB_PanUKBBR2_1	1661	0.12152504217925	PC2 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1277	Glaucoma (UKBB)	OTH	431278	4668	435946	Trans-ethnic (AFR,CSA,EUR)	0.579141752460467	N
20002_1278_PanUKBB_PanUKBBR2_1	1661	0.417304681853625	PC1 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1278	Cataract (UKBB)	OTH	432277	6376	438653	Trans-ethnic (AFR,CSA,EAS,EUR)	0.835509918725528	N
20002_1279_PanUKBB_PanUKBBR2_1	1661	0.0540491353516422	PC6 (8e-03)	PanUKBB	2022	PanUKBBR2	20002_1279	Eye Trauma (UKBB)	OTH	419891	582	420473	European (EUR)	0.402911736257696	N
20002_1281_PanUKBB_PanUKBBR2_1	1661	0.951651355883704	PC11 (2e-01)	PanUKBB	2022	PanUKBBR2	20002_1281	Retinal Detachment (UKBB)	OTH	419073	1400	420473	European (EUR)	0.975593774502178	N
20002_1282_PanUKBB_PanUKBBR2_1	1661	0.451283427077062	PC8 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1282	Retinal Artery/Vein Occlusion (UKBB)	OTH	420282	191	420473	European (EUR)	0.844851349199355	N
20002_1286_PanUKBB_PanUKBBR2_1	1661	0.300898368871057	PC9 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1286	Depression (UKBB)	PSD	416417	24811	441228	Trans-ethnic (CSA,EUR,MID)	0.827972886194381	N
20002_1287_PanUKBB_PanUKBBR2_1	1661	0.191286328480353	PC8 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1287	Anxiety/Panic Attacks (UKBB)	PSD	414673	5800	420473	European (EUR)	0.769603937256344	N
20002_1288_PanUKBB_PanUKBBR2_1	1661	0.0537230353780517	PC14 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1288	Nervous Breakdown (UKBB)	PSD	419842	631	420473	European (EUR)	0.555746309487233	N
20002_1289_PanUKBB_PanUKBBR2_1	1661	0.0571603779891778	PC5 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1289	Schizophrenia (UKBB)	PSD	420018	455	420473	European (EUR)	0.555746309487233	N
20002_1290_PanUKBB_PanUKBBR2_1	1661	0.4545463519373	PC13 (5e-03)	PanUKBB	2022	PanUKBBR2	20002_1290	Deliberate Self-Harm/Suicide Attempt (UKBB)	PSD	420277	196	420473	European (EUR)	0.903151862786695	N
20002_1291_PanUKBB_PanUKBBR2_1	1661	0.449987115688121	PC14 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1291	Mania/Bipolar Disorder/Manic Depression (UKBB)	PSD	419314	1159	420473	European (EUR)	0.903151862786695	N
20002_1293_PanUKBB_PanUKBBR2_1	1661	0.966771324345512	PC12 (2e-01)	PanUKBB	2022	PanUKBBR2	20002_1293	Bone Disorder (UKBB)	OTH	419528	945	420473	European (EUR)	0.979570591658118	N
20002_1294_PanUKBB_PanUKBBR2_1	1661	0.0706650011364614	PC5 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1294	Back Problem (UKBB)	OTH	428258	7688	435946	Trans-ethnic (AFR,CSA,EUR)	0.456121150445866	N
20002_1295_PanUKBB_PanUKBBR2_1	1661	0.822463018350129	PC5 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1295	Joint Disorder (UKBB)	OTH	418432	2041	420473	European (EUR)	0.934316318217193	N
20002_1297_PanUKBB_PanUKBBR2_1	1661	0.415967764778658	PC10 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1297	Muscle/Soft Tissue Problem (UKBB)	OTH	425955	3367	429322	Trans-ethnic (CSA,EUR)	0.835509918725528	N
20002_1308_PanUKBB_PanUKBBR2_1	1661	0.639752696094066	PC7 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1308	Osteomyelitis (UKBB)	INF	419809	664	420473	European (EUR)	0.875016590786723	N
20002_1309_PanUKBB_PanUKBBR2_1	1661	0.0893747346629488	PC2 (6e-03)	PanUKBB	2022	PanUKBBR2	20002_1309	Osteoporosis (UKBB)	OTH	422405	6917	429322	Trans-ethnic (CSA,EUR)	0.507931660361709	N
20002_1311_PanUKBB_PanUKBBR2_1	1661	0.572912764861543	PC9 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1311	Spine Arthritis/Spondylitis (UKBB)	OTH	416753	3720	420473	European (EUR)	0.874416236760862	N
20002_1312_PanUKBB_PanUKBBR2_1	1661	0.627709514361814	PC2 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1312	Prolapsed Disc/Slipped Disc (UKBB)	OTH	428761	7185	435946	Trans-ethnic (AFR,CSA,EUR)	0.887392496414474	N
20002_1313_PanUKBB_PanUKBBR2_1	1661	0.274878823199743	PC2 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1313	Ankylosing Spondylitis (UKBB)	IMD	419276	1185	420461	European (EUR)	0.508635394029074	N
20002_1322_PanUKBB_PanUKBBR2_1	1661	0.532317707760486	PC13 (8e-02)	PanUKBB	2022	PanUKBBR2	20002_1322	Myositis/Myopathy (UKBB)	IMD	420321	152	420473	European (EUR)	0.738317268626583	N
20002_1327_PanUKBB_PanUKBBR2_1	1661	0.949483095822075	PC6 (2e-01)	PanUKBB	2022	PanUKBBR2	20002_1327	Low Platelets/Platelet Disorder (UKBB)	IMD	420123	350	420473	European (EUR)	0.992641418359442	N
20002_1330_PanUKBB_PanUKBBR2_1	1661	0.0296926559823901	PC7 (2e-04)	PanUKBB	2022	PanUKBBR2	20002_1330	Iron Deficiency Anaemia (UKBB)	OTH	433345	2601	435946	Trans-ethnic (AFR,CSA,EUR)	0.303384517821699	N
