Trait	nSNP	overall_p	mscomp	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	URL	Population	Retrieval_date	Public	Notes
20002_1135_PanUKBB_PanUKBBR2_1	1661	0.467174275290604	PC10 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1135	Stomach Disorder (UKBB)	OTH	419566	907	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1135.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1136_PanUKBB_PanUKBBR2_1	1661	0.245931591376163	PC8 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1136	Liver/Biliary/Pancreas Problem (UKBB)	OTH	419751	722	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1136.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1137_PanUKBB_PanUKBBR2_1	1661	0.626023525842493	PC10 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1137	Other Abdominal Problem (UKBB)	OTH	419979	494	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1137.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1138_PanUKBB_PanUKBBR2_1	1661	0.4845579639909	PC10 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1138	Gastro-Oesophageal Reflux (Gord) / Gastric Reflux (UKBB)	OTH	421568	18680	440248	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1138.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1139_PanUKBB_PanUKBBR2_1	1661	0.114247769142193	PC2 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1139	Oesophagitis/Barretts Oesophagus (UKBB)	OTH	419162	1311	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1139.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1142_PanUKBB_PanUKBBR2_1	1661	0.17039969976524	PC10 (8e-03)	PanUKBB	2022	PanUKBBR2	20002_1142	Gastric/Stomach Ulcers (UKBB)	OTH	432877	3069	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1142.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1143_PanUKBB_PanUKBBR2_1	1661	0.942684140249589	PC2 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1143	Gastritis/Gastric Erosions (UKBB)	OTH	419833	640	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1143.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1154_PanUKBB_PanUKBBR2_1	1661	0.602404150383454	PC1 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1154	Irritable Bowel Syndrome (UKBB)	IMD	425748	10198	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1154.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1155_PanUKBB_PanUKBBR2_1	1661	0.147228292159577	PC4 (1e-02)	PanUKBB	2022	PanUKBBR2	20002_1155	Hepatitis (UKBB)	INF	420027	446	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1155.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1156_PanUKBB_PanUKBBR2_1	1661	0.59670855436573	PC3 (7e-02)	PanUKBB	2022	PanUKBBR2	20002_1156	Infective/Viral Hepatitis (UKBB)	INF	419591	882	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1156.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1157_PanUKBB_PanUKBBR2_1	1661	0.29936809262564	PC9 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1157	Non-Infective Hepatitis (UKBB)	IMD	420040	433	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1157.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1158_PanUKBB_PanUKBBR2_1	1661	0.70241579958564	PC11 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1158	Liver Failure/Cirrhosis (UKBB)	OTH	420173	300	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1158.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1161_PanUKBB_PanUKBBR2_1	1661	0.150003824442924	PC1 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1161	Gall Bladder Disease (UKBB)	OTH	420247	226	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1161.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1162_PanUKBB_PanUKBBR2_1	1661	0.00159510318906496	PC8 (4e-03)	PanUKBB	2022	PanUKBBR2	20002_1162	Cholelithiasis/Gall Stones (UKBB)	OTH	428789	7157	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1162.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1163_PanUKBB_PanUKBBR2_1	1661	0.29762723568308	PC9 (6e-02)	PanUKBB	2022	PanUKBBR2	20002_1163	Cholecystitis (UKBB)	OTH	420053	420	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1163.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1165_PanUKBB_PanUKBBR2_1	1661	0.0718544200518196	PC10 (6e-03)	PanUKBB	2022	PanUKBBR2	20002_1165	Pancreatitis (UKBB)	OTH	419558	915	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1165.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1190_PanUKBB_PanUKBBR2_1	1661	0.370341790060874	PC4 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1190	Peritonitis (UKBB)	OTH	419048	1425	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1190.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1191_PanUKBB_PanUKBBR2_1	1661	0.0430745742675232	PC13 (5e-02)	PanUKBB	2022	PanUKBBR2	20002_1191	Gastrointestinal Bleeding (UKBB)	OTH	420326	147	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1191.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1192_PanUKBB_PanUKBBR2_1	1661	0.344217769053772	PC14 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1192	Renal/Kidney Failure (UKBB)	OTH	420284	189	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1192.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1193_PanUKBB_PanUKBBR2_1	1661	0.816576501694148	PC6 (3e-02)	PanUKBB	2022	PanUKBBR2	20002_1193	Renal Failure Requiring Dialysis (UKBB)	OTH	420267	206	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1193.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1194_PanUKBB_PanUKBBR2_1	1661	0.922499403642218	PC6 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1194	Renal Failure Not Requiring Dialysis (UKBB)	OTH	420152	321	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1194.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1196_PanUKBB_PanUKBBR2_1	1661	0.688801780466164	PC13 (9e-02)	PanUKBB	2022	PanUKBBR2	20002_1196	Urinary Tract Infection/Kidney Infection (UKBB)	INF	418513	1960	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1196.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1197_PanUKBB_PanUKBBR2_1	1661	0.0614862552104459	PC1 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1197	Kidney Stone/Ureter Stone/Bladder Stone (UKBB)	OTH	426018	3304	429322	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1197.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1200_PanUKBB_PanUKBBR2_1	1661	0.0988071420042848	PC4 (1e-04)	PanUKBB	2022	PanUKBBR2	20002_1200	Ureteric Obstruction/Hydronephrosis (UKBB)	OTH	420190	283	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1200.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1201_PanUKBB_PanUKBBR2_1	1661	0.0075111916803733	PC1 (1e-03)	PanUKBB	2022	PanUKBBR2	20002_1201	Bladder Problem (Not Cancer) (UKBB)	OTH	417931	2542	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1201.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1202_PanUKBB_PanUKBBR2_1	1661	0.516031723245611	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1202	Urinary Frequency / Incontinence (UKBB)	OTH	418994	1479	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1202.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1220_PanUKBB_PanUKBBR2_1	1661	3.49880564922619e-08	PC14 (6e-05)	PanUKBB	2022	PanUKBBR2	20002_1220	Diabetes (UKBB)	OTH	421391	18857	440248	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1220.tsv.bgz	Trans-ethnic (AFR,CSA,EAS,EUR,MID)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1222_PanUKBB_PanUKBBR2_1	1661	0.0815600855399491	PC5 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1222	Type 1 Diabetes (UKBB)	IMD	420110	363	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1222.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1223_PanUKBB_PanUKBBR2_1	1661	0.00796789927476686	PC12 (2e-03)	PanUKBB	2022	PanUKBBR2	20002_1223	Type 2 Diabetes (UKBB)	OTH	433013	2933	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1223.tsv.bgz	Trans-ethnic (AFR,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1224_PanUKBB_PanUKBBR2_1	1661	0.630548039101991	PC7 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1224	Thyroid Problem (Not Cancer) (UKBB)	OTH	419391	1082	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1224.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1225_PanUKBB_PanUKBBR2_1	1661	0.203099791800135	PC6 (9e-03)	PanUKBB	2022	PanUKBBR2	20002_1225	Hyperthyroidism/Thyrotoxicosis (UKBB)	IMD	432615	3331	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1225.tsv.bgz	Trans-ethnic (AFR,CSA,EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1226_PanUKBB_PanUKBBR2_1	1661	2.71428429659681e-28	PC8 (8e-14)	PanUKBB	2022	PanUKBBR2	20002_1226	Hypothyroidism/Myxoedema (UKBB)	IMD	414705	21241	435946	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1226.tsv.bgz	Trans-ethnic (CSA,EUR)	2022-07-18T00:00:00Z	Y	HQ file
20002_1229_PanUKBB_PanUKBBR2_1	1661	0.824232296783746	PC9 (4e-02)	PanUKBB	2022	PanUKBBR2	20002_1229	Parathyroid Gland Problem (Not Cancer) (UKBB)	OTH	420332	141	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1229.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1230_PanUKBB_PanUKBBR2_1	1661	0.813655408539295	PC4 (1e-01)	PanUKBB	2022	PanUKBBR2	20002_1230	parathyroid hyperplasia/adenoma (UKBB)	CAN	420370	103	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1230.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1234_PanUKBB_PanUKBBR2_1	1661	0.0358325711293524	PC3 (2e-02)	PanUKBB	2022	PanUKBBR2	20002_1234	Adrenocortical Insufficiency/Addison'S Disease (UKBB)	IMD	420310	163	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1234.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
20002_1238_PanUKBB_PanUKBBR2_1	1661	0.157245219172902	PC7 (1e-03)	PanUKBB	2022	PanUKBBR2	20002_1238	Pituitary Adenoma/Tumour (UKBB)	CAN	420199	274	420473	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1238.tsv.bgz	European (EUR)	2022-07-18T00:00:00Z	Y	Non-HQ, should be equivalent to R1?
